,obs,cora,era5,d_cora,d_era5
2012-10-28 22:50:00,5.13,4.699385,3.4291604,-0.430614833831787,-1.7008396434783934
2012-10-28 23:50:00,5.1,4.8212123,3.5536683,-0.27878770828247035,-1.5463317394256588
2012-10-29 00:50:00,5.14,4.9221487,3.6774654,-0.2178512954711911,-1.4625345611572262
2012-10-29 01:50:00,5.09,5.018633,3.7650564,-0.07136711120605455,-1.324943628311157
2012-10-29 02:50:00,4.98,5.1157494,3.7907522,0.13574935913085895,-1.1892478275299077
2012-10-29 03:50:00,5.88,5.223897,3.8669584,-0.6561030197143554,-2.0130416202545165
2012-10-29 04:50:00,5.51,5.347494,3.9632921,-0.16250587463378885,-1.5467078781127928
2012-10-29 05:50:00,5.45,5.472273,4.0424733,0.02227287292480451,-1.4075266838073732
2012-10-29 06:50:00,5.68,5.624708,4.1069903,-0.05529182434082003,-1.5730096626281735
2012-10-29 07:50:00,5.73,5.7916784,4.2006526,0.06167842864990192,-1.5293474006652836
2012-10-29 08:50:00,5.25,5.98277,4.3317003,0.7327699661254883,-0.918299674987793
2012-10-29 09:50:00,5.4,6.133662,4.4625316,0.7336622238159176,-0.9374684333801273
2012-10-29 10:50:00,5.75,6.2414026,4.588204,0.49140262603759766,-1.1617960929870605
2012-10-29 11:50:00,5.72,6.359017,4.696912,0.6390168952941897,-1.0230881881713865
2012-10-29 12:50:00,6.19,6.463567,4.7960896,0.27356678009033164,-1.393910350799561
2012-10-29 13:50:00,6.97,6.5822234,4.9531837,-0.3877765846252439,-2.0168163490295408
2012-10-29 14:50:00,7.11,6.7365665,5.1354427,-0.37343345642089876,-1.9745572662353519
2012-10-29 15:50:00,6.68,6.9768105,5.4642835,0.2968104553222659,-1.2157165336608884
2012-10-29 16:50:00,7.21,7.3647566,5.991913,0.1547565841674805,-1.218087158203125
2012-10-29 17:50:00,7.22,7.7281094,6.467795,0.5081093597412112,-0.7522051048278806
2012-10-29 18:50:00,8.1,8.091475,6.8915677,-0.008525466918944957,-1.208432292938232
2012-10-29 19:50:00,8.82,8.498028,7.263285,-0.3219721984863284,-1.556714839935303
2012-10-29 20:50:00,8.56,8.839062,7.4512916,0.2790617370605464,-1.1087084388732915
2012-10-29 21:50:00,8.16,9.261911,7.5394535,1.101911392211914,-0.6205464935302736
2012-10-29 22:50:00,9.43,9.903397,7.6017547,0.4733966064453128,-1.8282453346252439
2012-10-29 23:50:00,9.65,10.501385,7.457117,0.8513847351074215,-2.192882919311524
2012-10-30 00:50:00,8.71,10.800146,7.177866,2.0901461029052726,-1.5321340179443368
2012-10-30 01:50:00,8.25,10.737616,6.863281,2.4876155853271484,-1.3867192268371582
2012-10-30 02:50:00,8.25,10.349045,6.5374594,2.0990447998046875,-1.712540626525879
2012-10-30 03:50:00,8.16,9.756328,6.1725674,1.5963276290893553,-1.9874326324462892
2012-10-30 04:50:00,7.02,9.156967,5.756309,2.136967163085938,-1.263690967559814
2012-10-30 05:50:00,6.42,8.58555,5.3144293,2.165550308227539,-1.10557071685791
2012-10-30 06:50:00,5.86,8.041739,4.886302,2.181739463806152,-0.9736980056762699
2012-10-30 07:50:00,5.4,7.585501,4.521696,2.185501194000244,-0.8783039093017582
2012-10-30 08:50:00,5.3,7.1713715,4.25108,1.8713714599609377,-1.0489199638366697
2012-10-30 09:50:00,5.12,6.7593155,4.0216665,1.6393154907226561,-1.0983334732055665
2012-10-30 10:50:00,4.91,6.384214,3.865402,1.4742139244079588,-1.0445980167388917
2012-10-30 11:50:00,5.51,6.1031103,3.7809415,0.5931103134155276,-1.7290585136413572
2012-10-30 12:50:00,4.56,5.9267406,3.7594712,1.366740646362305,-0.80052882194519
2012-10-30 13:50:00,5.34,5.817472,3.7929072,0.4774719810485841,-1.547092761993408
2012-10-30 14:50:00,5.14,5.7595844,4.162124,0.6195844268798831,-0.9778758430480954
2012-10-30 15:50:00,5.47,5.7535977,4.2309194,0.2835977363586428,-1.2390806388854978
2012-10-30 16:50:00,5.15,5.6891465,4.1319566,0.539146518707275,-1.018043422698975
2012-10-30 17:50:00,4.95,5.490822,3.9376416,0.5408218383789061,-1.0123583793640138
2012-10-30 18:50:00,4.47,5.2140355,3.7010584,0.744035511016846,-0.7689416122436521
2012-10-30 19:50:00,4.44,4.9210405,3.4554756,0.48104053497314414,-0.9845244312286381
2012-10-30 20:50:00,3.84,4.612773,3.2243092,0.7727729415893556,-0.6156907939910887
2012-10-30 21:50:00,3.82,4.3323298,3.0161593,0.5123297500610353,-0.8038407039642332
2012-10-30 22:50:00,3.42,4.069395,2.834248,0.6493950653076173,-0.5857519340515136
2012-10-30 23:50:00,3.22,3.8291965,2.679403,0.6091964530944822,-0.5405969333648684
2012-10-31 00:50:00,3.1,3.6095724,2.540162,0.509572410583496,-0.5598379135131837
2012-10-31 01:50:00,2.99,3.4182742,2.4112132,0.4282741641998289,-0.578786840438843
2012-10-31 02:50:00,2.6,3.2571669,2.298211,0.6571668624877929,-0.30178890228271493
2012-10-31 03:50:00,2.56,3.1086383,2.1990325,0.5486382865905761,-0.3609674549102784
2012-10-31 04:50:00,2.42,2.9807591,2.1104498,0.5607591438293458,-0.3095502090454101
2012-10-31 05:50:00,2.31,2.8780355,2.0963376,0.568035545349121,-0.2136624431610108
2012-10-31 06:50:00,2.38,2.8081117,2.0486748,0.42811166763305675,-0.3313251781463622
2012-10-31 07:50:00,2.42,2.7532015,2.004298,0.33320148468017585,-0.41570202827453606
2012-10-31 08:50:00,2.38,2.7087755,1.9691734,0.32877552032470714,-0.4108265686035155
2012-10-31 09:50:00,2.2,2.6563065,1.9337248,0.4563065052032469,-0.26627523899078387
2012-10-31 10:50:00,2.18,2.5903153,1.8901315,0.41031534194946273,-0.2898685264587404
