hwm_id,obs,quality,wse_spread_p90_p10,res_max,res_median,res_nearest,hwm_type,hcollect,waterbody
6411,3.993,1.0,0.24652314186096191,0.5941152877807618,-0.7200259857177733,-0.7715019874572753,Seed line,Map (digital or paper),
6099,4.816,4.0,0.30757951736450195,-0.9144268188476561,-1.215261713027954,-1.2555105838775633,Debris,Map (digital or paper),
6149,3.109,3.0,0.13081836700439453,-0.08641556167602538,-0.26860168838500975,-0.2193701591491699,Mud,Map (digital or paper),
6153,3.566,2.0,0.21845245361328125,0.18739412689209,-0.3180246505737303,-0.21350957489013656,Mud,Map (digital or paper),
6156,1.554,3.0,0.2858433723449707,2.0790137252807614,1.4601642093658447,1.5854433975219726,Seed line,Map (digital or paper),
6162,3.962,2.0,0.18239331245422363,0.3654784088134764,-0.5740331287384035,-0.47363744926452656,Seed line,Map (digital or paper),
6165,2.957,2.0,0.17104005813598633,0.6457066707611085,-0.04790065956115708,-0.16924594116210923,Seed line,Map (digital or paper),
6166,2.957,2.0,0.15947604179382324,0.6457066707611085,-0.05764506530761704,-0.06779859733581528,Seed line,Map (digital or paper),
6169,3.658,1.0,0.13668537139892578,-0.14731026458740226,-0.5667021350860595,-0.5583148078918456,Seed line,Map (digital or paper),
6170,2.835,2.0,0.1821272373199463,0.5189540767669678,0.2519715213775635,-0.5417978382110595,Seed line,Map (digital or paper),
6171,2.652,2.0,0.14737248420715332,1.2899822692871092,0.4182910423278807,0.37290305900573717,Seed line,Map (digital or paper),
6172,3.901,1.0,0.19248652458190918,0.3392811050415041,-0.5713491210937498,-0.5546364555358885,Seed line,Map (digital or paper),
6174,2.073,2.0,0.15758299827575684,0.9598369140625,-0.1419097642898559,-0.1288911561965942,Seed line,Map (digital or paper),
6176,1.341,2.0,0.2091885805130005,1.231979211807251,0.47107513809204105,0.5698114242553711,Seed line,Map (digital or paper),
6192,2.164,2.0,0.3987475633621216,0.3988867149353026,-0.2182829036712648,-0.22191318416595474,Seed line,Map (digital or paper),
6139,3.322,2.0,0.20478248596191406,0.5126929550170898,-0.08694240760803229,-0.0022358627319336577,Seed line,Map (digital or paper),
6140,3.536,1.0,0.23512721061706543,0.5863978996276855,-0.3357217178344727,-0.32654832458496097,Seed line,Map (digital or paper),
6141,3.414,2.0,,,,,Debris,Map (digital or paper),
6142,3.444,2.0,,,,,Debris,Map (digital or paper),
6143,3.353,2.0,0.09660458564758301,0.41162697982788066,-0.10729606437683126,-0.17418654251098653,Mud,Map (digital or paper),
6144,3.322,2.0,0.179229736328125,1.0618825225830077,-0.10963723373413092,-0.2704429359436036,Mud,Map (digital or paper),
6146,3.353,2.0,0.17583966255187988,1.0308825225830076,-0.1406570224761965,-0.16522152709960958,Seed line,Map (digital or paper),
6147,3.231,4.0,0.14358234405517578,0.6827015342712404,-0.01986985778808581,-0.0313277778625487,Mud,Map (digital or paper),
6180,1.615,3.0,0.1934107542037964,0.9828870391845703,0.28295327186584474,-0.4240411424636841,Seed line,Map (digital or paper),
6183,1.981,2.0,0.10080492496490479,0.09842724227905264,-0.11111050224304209,-0.17442923164367685,Seed line,Map (digital or paper),
6184,2.042,4.0,0.2400815486907959,0.48953705596923847,-0.07970351409912091,-0.08096498680114728,Debris,Map (digital or paper),
6185,1.92,1.0,0.07572269439697266,0.17077787399292,-0.06211726188659661,-0.15184895515441887,Seed line,Map (digital or paper),
6186,1.89,1.0,0.10470783710479736,0.5890782928466798,-0.014282240867614648,-0.002299442291259668,Seed line,Map (digital or paper),
6187,2.103,2.0,0.27778708934783936,0.7784454078674314,-0.19275553512573262,-0.19740839290618917,Seed line,Map (digital or paper),
6188,2.652,1.0,0.08156752586364746,-0.594309617996216,-0.7834868927001954,-0.680910279273987,Seed line,Map (digital or paper),
6189,2.134,2.0,0.12359428405761719,0.034008804321289166,-0.22869950199127187,-0.2556614246368407,Seed line,Map (digital or paper),
6191,2.225,4.0,0.47473084926605225,0.40525474548339835,-0.25437781810760507,-0.24718127250671396,Debris,Map (digital or paper),
6129,2.774,2.0,0.14878559112548828,-0.044418405532836935,-0.21429188156127932,-0.1887927761077881,Debris,Map (digital or paper),
